word,general,earn,acq,money,grain,crude,trade,interest,ship,wheat,corn
nil-IN,15,14,0,0,1,0,0,0,0,0,1
reflected-VBN,26,14,0,3,0,5,4,3,0,0,0
reflected-VBD,35,14,2,5,2,3,3,7,1,1,2
westerns-NNS,10,2,8,0,0,0,0,0,0,0,0
zone-NN,23,0,0,5,1,15,1,1,3,0,1
manhattan-JJ,5,0,5,0,0,0,0,0,0,0,0
cornelissen-VBN,4,4,0,0,0,0,0,0,0,0,0
suits-NNS,10,8,2,0,0,0,0,0,0,0,0
cattle-NN,6,0,1,0,3,2,0,0,0,2,1
double-JJ,29,10,4,5,2,4,2,3,4,2,0
yesterday-NN,365,25,100,85,31,47,31,59,43,10,20
creek-VBP,5,0,5,0,0,0,0,0,0,0,0
jet-NN,5,4,0,0,0,0,0,0,1,0,0
intends-VBZ,43,12,27,0,1,1,2,0,0,0,0
lawyers-NNS,5,0,4,0,0,0,0,0,1,0,0
elevator-NN,18,0,0,0,18,0,0,0,9,0,0
billboard-NN,4,0,4,0,0,0,0,0,0,0,0
diagnostic-JJ,17,3,14,0,0,0,0,0,0,0,0
exceptions-NNS,6,1,2,0,0,0,2,0,1,0,0
benefit-NN,40,26,6,2,2,2,3,0,0,1,1
waste-NN,51,10,40,0,0,1,0,0,0,0,0
express-VB,4,1,3,0,0,0,1,0,0,0,0
does-NNS,6,2,2,0,1,0,2,0,0,1,1
kuwait-NN,55,0,0,8,0,42,0,0,19,0,0
aide-NN,34,0,0,2,25,0,7,0,0,18,4
w-NN,25,4,17,0,1,2,0,0,1,0,0
stop-VB,67,1,7,14,6,9,35,4,1,1,4
clark-NN,21,2,8,0,0,0,11,0,0,0,0
competitive-JJ,88,10,13,14,31,7,12,7,1,23,18
steel-VBP,6,0,2,0,2,3,3,0,0,2,0
tape-NN,5,1,3,0,0,0,1,0,0,0,0
gallons-NNS,6,0,2,0,0,0,4,0,0,0,0
d-okla-NN,4,0,0,0,3,0,0,0,1,3,1
secretary-NN,159,0,23,40,23,28,45,7,12,16,8
taft-NN,87,0,87,0,0,0,0,0,0,0,0
tafts-NNS,9,0,9,0,0,0,0,0,0,0,0
aggressively-RB,19,3,3,11,0,2,2,0,0,0,0
tender-JJR,9,0,3,0,5,0,0,1,0,4,1
unitholders-NNS,9,7,1,0,0,1,0,0,0,0,0
potash-NN,8,0,0,0,0,0,8,0,0,0,0
rainfall-NN,19,0,0,0,19,0,0,0,0,10,8
auctions-NNS,18,0,0,18,1,0,0,0,0,0,1
satisfy-VB,15,2,8,1,1,0,2,1,0,1,0
fee-NN,52,3,7,0,0,34,0,8,0,0,0
norton-NN,8,0,8,0,0,0,0,0,0,0,0
retirement-NN,32,23,8,0,1,0,1,0,0,0,0
undoubtedly-RB,4,0,1,2,0,0,1,0,0,0,0
gelco-NN,17,2,15,0,0,0,0,0,0,0,0
new-JJ,1349,284,434,176,105,155,135,113,70,48,37
machinery-NN,36,6,11,2,3,3,11,0,5,2,1
summary-NN,7,0,0,0,7,0,0,0,0,3,2
mine-NN,24,9,15,0,0,0,0,0,0,0,0
ever-RB,25,6,3,4,3,4,4,2,0,3,1
forego-VB,6,0,0,0,5,0,1,0,0,5,2
holds-NNS,49,5,34,4,1,3,1,3,1,0,0
talked-VBN,4,0,2,0,1,1,0,0,0,1,0
harvard-NN,5,1,3,0,0,1,0,0,0,0,0
weve-NN,8,2,0,1,3,1,1,0,0,0,1
auditors-NNS,20,17,2,0,0,1,0,0,0,0,0
bold-JJ,5,1,2,0,0,3,0,0,0,0,0
siew-NN,6,0,0,6,0,0,3,0,0,0,0
drought-NN,37,0,0,0,36,0,1,0,3,18,5
audio-NN,5,2,2,0,0,0,1,0,0,0,0
planning-NN,22,1,2,8,1,0,11,0,0,0,1
broke-VBP,5,0,1,0,0,2,1,0,3,0,0
wont-NN,7,0,2,0,1,1,3,0,1,0,0
measurement-NN,4,1,1,1,0,0,1,0,0,0,0
soybean-JJ,48,0,0,0,43,3,2,0,1,12,38
alternative-NN,41,2,30,2,6,0,1,1,1,4,0
non-opec-NNP,6,0,0,0,0,6,0,0,0,0,0
considers-VBZ,9,0,4,1,0,3,0,0,3,0,0
damaged-VBN,15,1,0,0,5,9,0,0,0,1,4
elaborate-JJ,28,6,6,6,0,7,5,0,0,0,0
sanwa-NN,14,3,10,1,0,0,0,0,0,0,0
damaged-VBD,10,1,0,0,5,4,0,0,1,2,0
formed-VBD,5,2,3,0,0,0,0,0,0,0,0
formed-VBN,71,11,52,4,1,3,2,0,1,1,0
food-VBD,6,2,4,0,0,0,0,0,0,0,0
contain-VB,11,1,2,3,2,2,3,0,0,2,0
